stage, knee_angle, hand_distance, hip_angle, elbow_angle, rating
Drive,50.18807645955838,7.0,77.20654854000443,179.20077151086173,
Recovery,49.202671046731545,6.0,77.44470325921144,178.40149263156582,
Drive,45.80265806666581,9.0,79.18060159802124,177.75199358789158,
Drive,44.24870835755797,12.0,80.12339882578617,177.0262689175202,
Drive,39.918047157405404,12.0,81.04062709282768,175.32470601625175,
Drive,37.50197301110787,13.0,81.76103942436478,173.09995327666337,
Recovery,35.53767779197439,14.0,82.45677370960111,174.19097723006425,
Drive,31.406864455014464,14.0,81.46923439005187,168.08889137036493,
Drive,27.9320743691008,15.0,79.38034472384487,161.2151192275278,
Drive,26.284206817065176,16.0,76.08312256669873,154.58901743933603,
Drive,21.514643486684548,16.0,72.58667832978574,151.20951848606384,
Drive,15.617402588431705,17.0,71.8008349469546,134.32701866169694,
Drive,8.076779399547735,15.0,71.48514079721362,117.77828142839117,
Drive,6.709312940274074,10.0,71.32329826780989,90.13300674106027,
Drive,4.751034876407704,8.0,69.08936964556271,65.43438776944072,
Drive,4.0760299884715145,4.0,67.68786370499832,29.674515008078956,
Recovery,3.593682789164245,12.0,66.80140948635182,11.77695366563973,
Recovery,3.992162244869391,7.0,66.01208014404119,32.72040650985063,
Drive,3.703064702048423,8.0,65.22485943116808,40.17902138391474,
Recovery,4.843226597500447,6.0,64.87814185089564,34.145819796088844,
Recovery,5.125256270480233,8.0,64.09986032095657,37.176289268114715,
Recovery,4.735932422300379,9.0,64.3231843181618,21.411277528808487,
Recovery,4.665408953538081,13.0,64.3231843181618,26.95044298481109,
Recovery,4.531644219515937,17.0,64.3231843181618,20.73814408366912,
Drive,4.036949823364903,18.0,64.66572349287975,81.30495708211116,
Recovery,4.643713021438992,22.0,65.11963314081831,100.4970302497354,
Recovery,4.406292190162136,28.0,65.90984684383916,96.73601121411934,
Recovery,5.221554659939913,30.0,66.93388504106305,105.18954449202415,
Recovery,6.542113340376268,29.0,68.06151953229353,114.90866135269428,
Drive,5.806521130551938,30.0,68.96248897457819,126.29864616229358,
Drive,6.278057346252833,31.0,70.42687416958981,144.1713650325069,
Recovery,7.780077563410597,30.0,71.19057429035517,156.13383541958552,
Recovery,8.474719359396314,30.0,71.93469623892503,168.72278304175055,
Recovery,9.519289273730923,32.0,73.10135130596177,171.13491924424343,
Recovery,9.360174289623655,32.0,73.92642583525361,179.52834175645964,
Recovery,8.786926658382955,34.0,73.92642583525361,173.67346320933675,
Drive,8.991173246310314,31.0,75.05347317571665,171.22149566764742,
Drive,8.706218520522048,27.0,76.07903963507925,168.89907929920545,
Recovery,8.764006900991479,31.0,77.7867234535606,167.65554510033797,
Recovery,7.81947873962536,32.0,78.92979742206063,165.91323243937805,
Recovery,11.623575672015912,31.0,79.8925731234684,168.19970508910575,
Recovery,10.050165497858247,30.0,81.55489653395536,163.72230188522977,
Drive,9.074609650281975,29.0,82.40535663140857,163.81791665458496,
Recovery,11.165992032000267,27.0,83.8844964337146,169.10442883028634,
Recovery,13.361955327917771,24.0,85.19439875653102,166.04752223191508,
Recovery,15.277901665979085,21.0,86.20275211956158,167.10298710737857,
Recovery,19.865768021718402,19.0,86.1689486389433,164.9810573962995,
Recovery,21.71939761703742,18.0,86.09950625761812,162.4157629208926,
Recovery,23.27198151736287,18.0,87.64670313389169,161.71054547966597,
Recovery,26.075159934383603,17.0,89.47194325109983,167.9338668597202,
Recovery,29.317663020972518,12.0,88.94397619400246,170.17058122627398,
Recovery,30.653357290410348,2.0,87.63592041408052,172.24230308291556,
Recovery,35.26887964360119,0.0,86.37524666792608,171.6717204981763,
Recovery,39.66843692688266,1.0,84.46439342864306,170.2427412222494,
Recovery,43.5295748596062,5.0,82.35662192852043,165.5858876172936,
Recovery,44.753036962573745,7.0,81.45721009232429,168.57680559554362,
Recovery,44.63114814595979,8.0,80.73717482530068,164.35566729340778,
Recovery,45.30280060160148,9.0,79.5874548244055,163.02890068574808,
Recovery,46.08840949776556,12.0,78.35942778608826,166.24596476240117,
Recovery,46.673987223156125,11.0,77.60200434555321,167.27564431457765,
Drive,46.45033923120218,13.0,77.7867234535606,166.3775954938142,
Drive,46.00462711404654,14.0,77.20654854000443,165.60250783130826,
Drive,43.317982710892586,14.0,76.73159214371356,166.8543402024949,
Recovery,44.28146081199011,15.0,76.25848530857458,166.70671169344328,
Recovery,43.61193989012046,15.0,76.78725312166476,169.54793651317536,
Recovery,46.93304862891231,17.0,76.43775423555067,168.94542624201563,
Recovery,49.74061512339562,19.0,76.20051460398064,169.33249562949075,
Recovery,52.12956184560996,16.0,75.25643716352927,171.9964840129988,
Recovery,52.030737299283295,9.0,75.55240928515973,174.9347291057963,
Recovery,53.86350773947182,7.0,75.02167034911999,175.05763316374302,
Recovery,56.308150412290566,8.0,75.02167034911999,175.02480987406904,
Recovery,57.53706825466615,9.0,74.15378884624418,174.9744181771194,
Recovery,58.057212301804995,9.0,72.77428119943136,173.62881436839527,
Drive,57.05846678563403,10.0,73.23191825866355,173.5660141724463,
Drive,57.26459184172562,10.0,73.21016962881527,172.602967015066,
Recovery,56.56332738981327,10.0,73.66395711028153,172.72649436614532,
Recovery,55.3520432267173,9.0,74.18459997247267,172.68124163972098,
Recovery,54.79739288530709,13.0,75.84858929117064,173.39896768149578,
Recovery,55.03969958526677,11.0,78.17305647712674,175.71471818886025,
Recovery,55.68880943402466,8.0,77.23807331700331,178.21515667568153,
Recovery,53.64590835750055,8.0,76.3159802477525,179.37785902820627,
Drive,51.48826729146107,10.0,77.76680579096369,178.14271629504492,
Drive,48.85591766909836,11.0,77.28342589534103,179.99414213488427,
Drive,46.898671789722684,11.0,79.07719528013075,177.42062344360994,
Drive,43.344169362007435,13.0,79.44325524428179,174.36310798704378,
Drive,40.42408404113306,12.0,80.16643603579288,171.83897067933802,
Drive,36.68459119271799,13.0,81.50727097188151,172.34602889748598,
Drive,36.10205161974258,14.0,81.00074895416073,178.63190137311577,
Drive,30.160226512638665,13.0,80.62065496714678,165.09261086380045,
Drive,27.363723032987558,13.0,79.47221388003645,160.32844371591358,
Drive,24.398347070766338,16.0,75.66719717464791,156.52900688183914,
Recovery,23.067187305307783,15.0,72.26469349083108,150.98572836335066,
Drive,13.760091120751914,15.0,70.93371827743378,140.74759907963124,
